BRT_NAAM;BRT_CODE;BRT_VOLLCODE;BCE_NAAM;BCE_CODE;BCE_VOLLCODE;SDL_NAAM;SDL_CODE;GGW_NAAM;GGW_CODE
Kop Zeedijk;a;A00a;Burgwallen-Oude Zijde;00;A00;Centrum;A;Centrum-West;DX01
Oude Kerk e.o.;b;A00b;Burgwallen-Oude Zijde;00;A00;Centrum;A;Centrum-West;DX01
Burgwallen Oost;c;A00c;Burgwallen-Oude Zijde;00;A00;Centrum;A;Centrum-West;DX01
Nes e.o.;d;A00d;Burgwallen-Oude Zijde;00;A00;Centrum;A;Centrum-West;DX01
BG-terrein e.o.;e;A00e;Burgwallen-Oude Zijde;00;A00;Centrum;A;Centrum-West;DX01
Stationsplein e.o.;a;A01a;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Hemelrijk;b;A01b;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Nieuwendijk Noord;c;A01c;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Spuistraat Noord;d;A01d;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Nieuwe Kerk e.o.;e;A01e;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Spuistraat Zuid;f;A01f;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Begijnhofbuurt;g;A01g;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Kalverdriehoek;h;A01h;Burgwallen-Nieuwe Zijde;01;A01;Centrum;A;Centrum-West;DX01
Langestraat e.o.;a;A02a;Grachtengordel-West;02;A02;Centrum;A;Centrum-West;DX01
Leliegracht e.o.;b;A02b;Grachtengordel-West;02;A02;Centrum;A;Centrum-West;DX01
Felix Meritisbuurt;c;A02c;Grachtengordel-West;02;A02;Centrum;A;Centrum-West;DX01
Leidsegracht Noord;d;A02d;Grachtengordel-West;02;A02;Centrum;A;Centrum-West;DX01
